EMPLID,MANAGER_ID,GRADE
194993,44198,3
195933,44198,3
194563,44198,3
221960,44198,3
61523,44198,2
24282,44198,2
10356,44198,2
119990,64899,4
160374,64899,4
143651,64899,3
234252,64899,3
115824,64899,2
121962,64899,2
181800,64899,2
170308,64899,2
214197,64899,2
221911,64899,3
209411,64899,3
222588,64899,3
209031,64899,3
221788,64899,3
201210,64899,3
195149,64899,3
230771,64899,3
120162,64899,3
178764,64899,3
189134,64899,3
210344,64899,3
157966,64899,3
64899,644,6
93088,64899,4
133744,64899,4
143115,64899,4
24135,64899,3
51441,64899,3
211102,64899,3
37471,64899,3
206813,64899,2
146936,64899,2
231829,64899,2
129254,64899,2
104398,64899,2
179481,64899,2
34766,64899,2
197442,64899,2
170316,64899,2
46920,64899,2
162248,64899,2
68874,64899,2
29622,64899,2
226621,64899,2
167353,64899,3
174961,64899,3
60087,64899,3
145961,64899,3
152181,64899,3
199307,64899,3
178889,64899,3
221739,64899,3
199851,64899,3
221838,64899,3
99622,64899,3
143131,64899,3
198986,64899,3
178624,64899,3
178392,64899,3
52506,64899,3
177998,64899,3
195958,64899,3
184390,64899,3
226456,64899,3
209437,64899,3
38883,64899,2
35021,19449,5
85209,35021,4
84525,35021,4
102731,35021,3
230425,35021,3
52514,35021,3
102723,35021,2
122200,35021,2
171397,35021,2
129189,35021,2
24410,35021,2
188037,35021,2
102715,35021,2
162255,35021,2
68973,35021,2
129361,35021,2
146886,35021,2
158402,35021,2
210732,35021,2
98822,35021,3
76059,35021,3
97014,35021,3
128710,35021,3
188987,35021,3
227579,35021,3
211748,35021,3
221812,35021,3
179762,35021,3
209312,35021,3
179374,35021,3
177451,35021,3
79780,35021,3
177923,35021,3
134874,35021,3
179747,35021,3
179465,35021,3
100636,35021,3
137463,35021,3
209262,35021,3
25246,19449,5
133694,25246,4
26894,25246,3
188847,25246,3
210831,25246,2
210955,25246,2
158436,25246,2
129320,25246,2
158501,25246,2
150730,25246,3
232298,25246,3
179598,25246,3
179408,25246,3
209908,25246,3
232173,25246,3
208983,25246,3
222034,25246,3
151456,25246,3
196253,25246,3
223776,25246,3
233056,25246,3
221903,25246,3
69112,16077,5
101386,69112,4
16019,69112,4
59675,69112,3
27743,69112,3
214593,69112,3
32552,69112,3
74039,69112,2
35217,69112,2
198317,69112,2
158360,69112,2
42218,69112,2
20628,69112,2
162271,69112,2
26658,69112,2
122168,69112,2
26098,69112,2
121731,69112,2
111674,69112,2
189050,69112,2
105445,69112,2
195875,69112,3
221713,69112,3
230821,69112,3
225383,69112,3
226837,69112,3
145805,69112,3
193730,69112,3
167767,69112,3
183632,69112,3
195073,69112,3
225375,69112,3
224030,69112,3
193748,69112,3
221754,69112,3
175463,69112,3
57950,69112,3
59253,69112,3
221762,69112,3
110239,69112,3
110353,69112,3
65904,69112,3
59303,69112,3
37633,16077,5
72124,37633,4
124412,37633,4
17073,37633,4
41020,37633,3
61432,37633,3
198218,37633,3
176313,37633,3
207191,37633,2
92544,37633,2
68866,37633,2
68940,37633,2
68924,37633,2
35411,37633,2
26632,37633,2
21488,37633,2
38825,37633,2
179523,37633,2
38859,37633,2
134882,37633,2
111484,37633,2
179549,37633,2
168146,37633,3
179416,37633,3
133389,37633,3
193128,37633,3
210807,37633,3
147694,37633,3
191106,37633,3
173344,37633,3
167106,37633,3
145748,37633,3
178335,37633,3
101006,37633,3
118687,37633,3
202200,37633,3
168047,37633,3
178640,37633,3
158469,37633,3
179424,37633,3
133454,37633,3
171546,37633,3
2028,37633,2
10487,37633,2
55806,43372,4
173575,55806,2
173567,55806,2
72033,55806,3
98319,55806,3
189332,55806,3
189258,55806,3
127951,55806,3
70417,127084,3
191460,127084,3
108001,127084,3
95000,127084,3
164418,127084,3
125856,127084,3
73494,127084,3
139592,127084,3
39431,28715,5
12853,39431,4
30592,39431,2
181784,39431,2
2036,39431,2
189068,39431,2
137661,39431,3
154997,39431,3
57927,39431,3
83162,39431,3
201483,39431,3
131557,39431,3
98608,39431,3
43539,39431,3
34350,39431,3
141606,39431,3
133090,39431,3
142661,39431,3
20880,39431,2
50617,57562,1
76273,57562,1
106922,57562,1
87593,57562,1
17900,57562,1
88971,57562,1
201871,57562,1
65334,57562,4
110155,57562,4
63842,57562,4
136994,57562,4
112037,57562,4
145979,57562,4
170258,57562,3
21438,57562,3
66472,57562,3
125468,57562,3
44560,57562,3
197780,57562,3
197210,57562,2
26616,57562,2
21412,57562,2
31695,57562,2
62646,57562,2
111658,57562,2
5246,57562,2
72546,57562,2
25199,57562,2
134643,57562,2
10398,57562,2
197368,57562,2
25220,57562,2
21404,57562,2
65110,57562,2
134791,57562,2
197251,57562,2
24371,57562,2
30908,57562,2
197244,57562,2
111633,57562,2
154757,57562,3
111179,57562,3
194985,57562,3
167387,57562,3
165431,57562,3
63248,57562,3
175471,57562,3
195008,57562,3
97295,57562,3
167122,57562,3
105643,57562,3
233874,57562,3
196006,57562,3
159442,57562,3
105627,57562,3
177659,57562,3
136879,57562,3
147744,57562,3
199505,57562,3
199364,57562,3
96628,57562,3
208579,57562,3
196022,57562,3
122556,57562,3
207621,57562,3
117614,57562,3
178319,57562,3
208876,57562,3
178384,57562,3
208686,57562,3
209148,57562,3
234518,57562,3
202986,57562,3
188110,57562,3
194795,57562,3
68767,57562,3
94375,57562,3
109876,57562,3
209171,57562,3
209163,57562,3
165043,57562,3
196980,57562,3
202473,57562,3
202531,57562,3
202267,32324,3
191015,57562,3
202937,57562,3
211342,57562,3
166892,57562,3
208868,32324,3
188508,57562,3
137471,57562,3
196030,57562,3
167007,57562,3
111211,57562,3
134957,57562,3
167015,57562,3
167874,57562,3
109868,57562,3
55350,57562,3
208702,57562,3
208744,57562,3
202283,57562,3
105510,57562,3
189779,57562,3
194977,57562,3
36514,57562,3
208561,57562,3
209551,57562,3
180331,57562,3
161752,57562,3
111716,57562,3
188433,57562,3
194860,57562,3
177956,57562,3
150557,57562,3
177527,57562,3
193821,57562,3
156463,57562,3
194589,57562,3
195081,57562,3
97469,57562,3
92460,57562,3
135020,57562,2
134726,57562,2
134486,57562,2
134635,57562,2
134841,57562,2
137562,57562,2
111476,57562,2
134999,57562,2
134932,57562,2
134700,57562,2
32324,39449,6
81141,57562,4
202036,57562,4
223859,57562,3
232447,57562,3
231068,57562,3
216648,57562,3
164749,57562,3
224105,57562,3
